Data,Wartosc
2010-01-01,4.32
2010-01-07,4.41
2010-01-14,4.38
2010-01-21,4.36
2010-01-28,4.39
2010-02-05,4.36
2010-02-12,4.35
2010-02-19,4.4
2010-02-25,4.39
2010-03-05,4.45
2010-03-11,4.5
2010-03-18,4.5
2010-03-25,4.57
2010-04-01,4.56
2010-04-08,4.61
2010-04-15,4.6
2010-04-23,4.65
2010-04-29,4.66
2010-05-06,4.72
2010-05-14,4.75
2010-05-21,4.71
2010-05-26,4.69
2010-06-03,4.67
2010-06-17,4.75
2010-06-24,4.72
2010-07-01,4.74
2010-07-08,4.7
2010-07-16,4.67
2010-07-22,4.66
2010-07-30,4.63
2010-08-05,4.6
2010-08-12,4.58
2010-08-19,4.56
2010-08-26,4.55
2010-09-02,4.54
2010-09-09,4.57
2010-09-16,4.57
2010-09-23,4.54
2010-09-30,4.58
2010-10-07,4.54
2010-10-14,4.57
2010-10-21,4.59
2010-10-28,4.57
2010-11-02,4.55
2010-11-11,4.59
2010-11-18,4.61
2010-11-25,4.67
2010-12-02,4.78
2010-12-09,4.86
2010-12-16,4.88
2010-12-23,4.86
2010-12-29,4.93
2010-12-30,4.92
2011-01-06,4.91
2011-01-13,4.88
2011-01-20,4.87
2011-01-27,4.83
2011-02-03,4.82
2011-02-10,4.81
2011-02-17,4.85
2011-02-24,4.9
2011-03-03,4.98
2011-03-10,5.03
2011-03-17,5.04
2011-03-24,5.09
2011-03-31,5.13
2011-04-07,5.16
2011-04-13,5.16
2011-04-21,5.17
2011-04-28,5.17
2011-05-05,5.18
2011-05-12,5.17
2011-05-19,5.16
2011-05-26,5.15
2011-06-02,5.14
2011-06-09,5.13
2011-06-14,5.1
2011-06-23,5.07
2011-06-30,5.06
2011-07-07,5.12
2011-07-21,5.29
2011-07-28,5.28
2011-08-04,5.21
2011-08-11,5.14
2011-08-19,5.05
2011-08-26,5.04
2011-09-02,5.06
2011-09-09,5.17
2011-09-16,5.22
2011-09-23,5.23
2011-09-30,5.2
2011-10-07,5.23
2011-10-14,5.32
2011-10-21,5.35
2011-10-28,5.35
2011-11-04,5.39
2011-11-11,5.42
