Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,58.180000,58.820000,57.980000,58.180000,42.287395,3897200
2010-01-05,58.250000,59.000000,58.119999,58.279999,42.360073,5966300
2010-01-06,58.209999,58.270000,57.810001,57.849998,42.047546,5770200
2010-01-07,57.959999,57.959999,57.189999,57.410000,41.727718,5747000
2010-01-08,59.770000,61.130001,59.520000,60.169998,43.733795,13779300
2010-01-11,60.549999,63.380001,60.500000,62.820000,45.659912,13744900
2010-01-12,62.520000,62.939999,62.099998,62.400002,45.354641,5662500
2010-01-13,63.130001,63.220001,61.930000,62.070000,45.114796,5822600
2010-01-14,61.860001,62.360001,61.830002,62.200001,45.209282,4698000
2010-01-15,62.200001,62.400002,61.720001,61.930000,45.013031,6066300
2010-01-19,62.009998,62.779999,62.000000,62.250000,45.245613,3525000
2010-01-20,62.160000,62.209999,60.669998,61.160000,44.453365,5261100
2010-01-21,61.070000,61.320000,59.529999,59.700001,43.392170,6344200
2010-01-22,59.490002,59.549999,58.599998,58.750000,42.701702,5623300
2010-01-25,59.110001,59.520000,58.259998,58.750000,42.701702,3520500
2010-01-26,58.490002,59.200001,57.889999,58.639999,42.621727,3285800
2010-01-27,58.650002,59.500000,58.119999,59.340000,43.130520,5247300
2010-01-28,59.509998,59.650002,58.060001,58.959999,42.854321,5711600
2010-01-29,59.130001,59.790001,57.709999,57.770000,41.989395,6565200
2010-02-01,57.950001,58.529999,57.450001,58.389999,42.440025,6331100
2010-02-02,59.740002,59.950001,58.299999,58.619999,42.607204,7843800
2010-02-03,58.730000,59.299999,58.250000,58.869999,42.788906,4745400
2010-02-04,58.430000,58.630001,57.240002,57.290001,41.640491,7259900
2010-02-05,57.180000,57.730000,56.230000,57.200001,41.575096,5799400
2010-02-08,57.169998,57.400002,56.490002,56.619999,41.153522,3485100
2010-02-09,57.349998,58.180000,56.900002,57.410000,41.727718,5253000
2010-02-10,57.450001,57.450001,56.570000,57.070000,41.480606,4704000
2010-02-11,56.810001,57.150002,56.360001,56.720001,41.568546,6647300
2010-02-12,56.259998,56.419998,55.770000,56.150002,41.150810,6148400
2010-02-16,56.939999,57.490002,56.470001,57.330002,42.015602,5065200
2010-02-17,57.509998,57.599998,57.139999,57.509998,42.147511,4489000
2010-02-18,57.310001,57.610001,56.930000,57.169998,41.898335,4332500
2010-02-19,56.950001,58.160000,56.779999,57.810001,42.367378,4886100
2010-02-22,58.070000,58.220001,57.669998,57.950001,42.469975,2916300
2010-02-23,57.950001,58.520000,57.500000,58.400002,42.799770,5622400
2010-02-24,58.430000,58.950001,58.259998,58.759998,43.063610,4748300
2010-02-25,57.980000,58.419998,57.450001,58.419998,42.814438,4441400
2010-02-26,58.419998,58.950001,57.900002,58.740002,43.048958,3895100
2010-03-01,58.799999,59.540001,58.730000,58.849998,43.129562,3944600
2010-03-02,59.180000,59.590000,59.009998,59.160000,43.356758,6304900
2010-03-03,59.939999,60.000000,59.130001,59.180000,43.371418,6077200
2010-03-04,59.330002,59.680000,58.910000,59.200001,43.386078,4370400
2010-03-05,59.560001,59.709999,59.220001,59.490002,43.598610,5400400
2010-03-08,59.669998,59.889999,59.459999,59.799999,43.825790,4076700
2010-03-09,59.680000,60.430000,59.430000,60.290001,44.184898,5471000
2010-03-10,60.230000,61.029999,60.080002,60.730000,44.507366,6309500
2010-03-11,60.590000,62.490002,60.450001,62.470001,45.782562,10353600
2010-03-12,62.500000,62.529999,62.000000,62.320000,45.672642,5878800
2010-03-15,62.230000,62.799999,62.020000,62.700001,45.951130,4937900
